Date,priceUSD,difficulty,hashrate,size90var,difficulty14sma,difficulty30sma,difficulty90sma,difficulty3ema,difficulty7ema,difficulty14ema,difficulty30ema,difficulty90ema,difficulty3wma,difficulty14wma,difficulty30wma,difficulty90wma,hashrate7sma,hashrate14sma,hashrate30sma,hashrate90sma,hashrate3ema,hashrate7ema,hashrate14ema,hashrate30ema,hashrate90ema,hashrate7wma,hashrate14wma,hashrate30wma,hashrate90wma,mining_profitability90trx,sentinusd90smaUSD,sentinusd30emaUSD,sentinusd90emaUSD,sentinusd90wmaUSD,sentinusd90stdUSD,sentinusd90varUSD,transactionfees90smaUSD,transactionfees90emaUSD,transactionfees90wmaUSD,transactionfees90trxUSD,median_transaction_fee14smaUSD,median_transaction_fee90smaUSD,median_transaction_fee14emaUSD,median_transaction_fee90emaUSD,transactionvalue3smaUSD,transactionvalue14smaUSD,transactionvalue30smaUSD,transactionvalue90smaUSD,transactionvalue7emaUSD,transactionvalue14emaUSD,transactionvalue30emaUSD,transactionvalue90emaUSD,transactionvalue7wmaUSD,transactionvalue14wmaUSD,transactionvalue30wmaUSD,transactionvalue90wmaUSD,transactionvalue90stdUSD,transactionvalue90varUSD,mediantransactionvalue30smaUSD,mediantransactionvalue30emaUSD,mediantransactionvalue30wmaUSD,mediantransactionvalue90wmaUSD,top100cap30trx,top100cap30rsi,fee_to_reward90trxUSD,price3smaUSD,price7smaUSD,price14smaUSD,price30smaUSD,price90smaUSD,price3emaUSD,price7emaUSD,price14emaUSD,price30emaUSD,price90emaUSD,price3wmaUSD,price7wmaUSD,price14wmaUSD,price30wmaUSD,price90wmaUSD,price90varUSD,price7rsiUSD
2010/07/17,0.0495,181.543,2775561176.0,136071,40.922,29.004,18.625,116.71,76.48,53.217,36.488,21.674,119.12700000000001,55.173,37.739000000000004,23.608,1344954424.0,769377593.0,442708104.0,218711209.0,2164468980.0,1551257808.0,1053882206.0,643118942.0,305468572.0,1719076358.0,1139499015.0,676432559.0,323361325.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,70.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/18,0.0726,181.543,1554461318.0,137783,52.503,34.476,20.555,149.127,102.74600000000001,70.327,45.847,25.186999999999998,161.681,73.922,47.58,27.189,1535614211.0,867227280.0,490250927.0,235019888.0,1859465149.0,1552058685.0,1120626088.0,701915225.0,332918962.0,1771453082.0,1244176845.0,748158573.0,352718471.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,71.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/19,0.0859,181.543,1551287489.0,139307,64.085,39.948,22.486,165.335,122.445,85.156,54.601000000000006,28.624000000000002,181.543,91.12799999999999,57.068000000000005,30.726999999999997,1688905054.0,966260371.0,537484411.0,251315604.0,1705376319.0,1551865886.0,1178047608.0,756713435.0,359696292.0,1775371401.0,1335384873.0,816612545.0,381647429.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,68.863,0.0,0.069,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/20,0.0783,181.543,1640430286.0,143110,75.399,45.42100000000001,24.414,173.43900000000002,137.22,98.007,62.791000000000004,31.985,181.543,106.789,66.203,34.223,1730017467.0,1068545838.0,587502010.0,268576667.0,1672903302.0,1574006986.0,1239698632.0,813727425.0,387844292.0,1763252709.0,1425274195.0,887770343.0,412177422.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9479999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,66.923,0.0,0.079,0.0,0.0,0.0,0.0,0.07400000000000001,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/21,0.0767,181.543,1723492810.0,142995,86.68799999999999,50.893,26.304000000000002,177.49099999999999,148.30100000000002,109.145,70.453,35.272,181.543,120.941,74.985,37.676,1784451935.0,1178520722.0,639889951.0,286507214.0,1698198056.0,1611378442.0,1304204522.0,872421966.0,417199204.0,1761621545.0,1512600458.0,961060072.0,444153601.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,67.334,0.0,0.08,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/22,0.0649,181.543,1705481237.0,142819,97.977,56.365,28.194000000000003,179.517,156.611,118.79899999999999,77.62,38.486,181.543,133.589,83.414,41.088,1831741354.0,1287530530.0,692298583.0,304521854.0,1701839647.0,1634904141.0,1357708084.0,926167726.0,445513095.0,1741878870.0,1582861860.0,1029807897.0,475339843.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,66.52600000000001,0.0,0.073,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/23,0.0566,181.543,1716129083.0,142703,109.265,61.836999999999996,30.083000000000002,180.53,162.844,127.164,84.325,41.63,181.543,144.731,91.49,44.458,1809549057.0,1395091600.0,744642641.0,322619988.0,1708984365.0,1655210376.0,1405497550.0,977132975.0,473438721.0,1712975803.0,1640008334.0,1095861478.0,506364178.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.631,0.0,0.0,0.0,4.952,0.0,0.0,0.0,4.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,64.286,0.0,0.066,0.069,0.0,0.0,0.0,0.063,0.069,0.0,0.0,0.0,0.063,0.069,0.0,0.0,0.0,0.0,0.0
2010/07/24,0.0581,181.543,1665066217.0,154739,120.554,67.278,31.973000000000003,181.037,167.519,134.415,90.59700000000001,44.705,181.543,154.368,99.213,47.787,1650906920.0,1497930672.0,794606570.0,340051957.0,1687025291.0,1657674337.0,1440106706.0,1021515765.0,499628336.0,1676855093.0,1676004950.0,1155243644.0,535868491.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.051,0.0,0.0,0.0,4.4239999999999995,0.0,0.0,0.0,4.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,64.516,0.0,0.06,0.07,0.0,0.0,0.0,0.061,0.066,0.0,0.0,0.0,0.059000000000000004,0.066,0.0,0.0,0.0,0.0,56.378
2010/07/25,0.053,181.543,1907547992.0,236757,131.843,72.683,33.863,181.29,171.025,140.69899999999998,96.464,47.713,181.543,162.5,106.585,51.074,1701347873.0,1618481042.0,853013432.0,360188481.0,1797286642.0,1720142751.0,1502432211.0,1078679134.0,530571626.0,1741015361.0,1730620592.0,1227046316.0,570318953.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.349,0.0,0.0,0.0,3.66,0.0,0.0,0.0,3.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,64.003,0.0,0.055999999999999994,0.068,0.0,0.0,0.0,0.057,0.063,0.0,0.0,0.0,0.055,0.062,0.0,0.0,0.0,0.0,51.788999999999994
2010/07/26,0.053,181.543,2223656291.0,238744,143.132,78.08800000000001,35.753,181.417,173.655,146.145,101.95299999999999,50.653999999999996,181.543,169.127,113.609,54.32,1797400559.0,1743152807.0,922082236.0,383830040.0,2010471466.0,1846021136.0,1598595422.0,1152548628.0,567782278.0,1871592465.0,1811310625.0,1315474888.0,611274289.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.692,0.0,0.0,0.0,5.212000000000001,0.0,0.0,0.0,4.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24100000000000002,72.539,0.0,0.055,0.063,0.0,0.0,0.0,0.055,0.061,0.0,0.0,0.0,0.054000000000000006,0.057999999999999996,0.0,0.0,0.0,0.0,51.81100000000001
2010/07/27,0.057999999999999996,239.305,2426744254.0,238890,157.70600000000002,85.41799999999999,38.284,210.361,190.067,158.566,110.815,54.8,210.424,181.95,124.01,58.794,1909731126.0,1819874296.0,997821073.0,409640954.0,2218607860.0,1991201915.0,1709015266.0,1234754797.0,608638585.0,2028928389.0,1902456152.0,1412549857.0,656173503.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.193,0.0,0.0,0.0,4.995,0.0,0.0,0.0,4.781000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23399999999999999,72.98899999999999,0.0,0.055,0.06,0.0,0.0,0.0,0.055999999999999994,0.06,0.0,0.0,0.0,0.055,0.057,0.0,0.0,0.0,0.0,56.531000000000006
2010/07/28,0.0595,244.213,1950278995.0,329983,171.908,92.911,40.87,227.287,203.604,169.986,119.421,58.963,232.132,193.484,134.255,63.318999999999996,1942129153.0,1863290544.0,1057476140.0,430277305.0,2084443428.0,1980971185.0,1741183763.0,1280917649.0,638125187.0,2039065356.0,1919843445.0,1473998755.0,690033680.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.422999999999999,0.0,0.0,0.0,4.261,0.0,0.0,0.0,4.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,72.786,0.0,0.057,0.057999999999999996,0.0,0.0,0.0,0.057999999999999996,0.06,0.0,0.0,0.0,0.057999999999999996,0.057,0.0,0.0,0.0,0.0,57.925
2010/07/29,0.0648,244.213,2095168440.0,367932,186.11,100.405,43.456,235.75,213.75599999999997,179.88299999999998,127.47200000000001,63.035,243.395,203.125,144.016,67.789,1997798753.0,1914770054.0,1122068669.0,452613655.0,2089805934.0,2009520499.0,1788381720.0,1333449958.0,670148116.0,2077325178.0,1950760498.0,1540946645.0,726624694.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.354,0.0,0.0,0.0,3.361,0.0,0.0,0.0,3.2430000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,72.915,0.0,0.061,0.057999999999999996,0.0,0.0,0.0,0.061,0.061,0.0,0.0,0.0,0.062,0.059000000000000004,0.0,0.0,0.0,0.0,63.028999999999996
2010/07/30,0.0663,244.213,2189273223.0,366789,199.09799999999998,107.899,46.043,239.982,221.37,188.46,135.004,67.017,244.213,210.872,153.29399999999998,72.20100000000001,2065390773.0,1937469915.0,1189437904.0,475919949.0,2139539579.0,2054458680.0,1841833921.0,1388664362.0,703535481.0,2125193795.0,1987360920.0,1609798552.0,764793036.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2769999999999997,4.279,0.0,0.0,3.548,4.279,0.0,0.0,3.4139999999999997,3.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,72.778,0.0,0.063,0.059000000000000004,0.064,0.0,0.0,0.064,0.062,0.064,0.0,0.0,0.065,0.061,0.062,0.0,0.0,0.0,64.395
2010/07/31,0.0664,244.213,2265292201.0,365698,203.575,115.39200000000001,48.629,242.097,227.081,195.894,142.05,70.911,244.213,216.887,162.088,76.556,2151137342.0,1901022131.0,1258440285.0,499991086.0,2202415890.0,2107167060.0,1898295025.0,1445220997.0,737859804.0,2175169152.0,2031070558.0,1679208506.0,804119898.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7489999999999997,4.319,0.0,0.0,3.53,4.172,0.0,0.0,3.3810000000000002,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,71.241,0.0,0.066,0.06,0.065,0.0,0.0,0.065,0.063,0.064,0.0,0.0,0.066,0.063,0.062,0.0,0.0,0.0,64.579
2010/08/01,0.0611,244.213,2671612580.0,365118,208.051,122.88600000000001,51.215,243.155,231.364,202.33599999999998,148.641,74.72,244.213,222.30599999999998,170.399,80.855,2260289426.0,1980818650.0,1341340552.0,528628077.0,2437014235.0,2248278440.0,2001404032.0,1524343035.0,780359865.0,2305287962.0,2133815952.0,1770380913.0,851847843.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.629,7.109,0.0,0.0,13.972999999999999,9.656,0.0,0.0,13.782,9.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,71.249,0.0,0.065,0.061,0.064,0.0,0.0,0.063,0.063,0.064,0.0,0.0,0.064,0.063,0.062,0.0,0.0,0.0,54.478
2010/08/02,0.0613,244.213,2982826783.0,365077,212.528,130.379,53.792,243.68400000000003,234.576,207.92,154.80700000000002,78.445,244.213,227.127,178.227,85.096,2368742354.0,2083071457.0,1434667850.0,560841998.0,2709920509.0,2431915526.0,2132260399.0,1618438760.0,828765732.0,2485922301.0,2267417036.0,1876283250.0,905786276.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.519000000000002,7.26,0.0,0.0,12.925,9.673,0.0,0.0,13.734000000000002,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,69.565,0.0,0.063,0.062,0.063,0.0,0.0,0.062,0.062,0.064,0.0,0.0,0.062,0.063,0.061,0.0,0.0,0.0,54.785
2010/08/03,0.06,244.213,2904903911.0,365168,217.00400000000002,137.873,56.363,243.949,236.986,212.75900000000001,160.575,82.088,244.213,231.352,185.571,89.28200000000001,2437050876.0,2173391001.0,1525345790.0,592118964.0,2807412210.0,2550162622.0,2235279534.0,1701436512.0,874395142.0,2619962690.0,2376994697.0,1971137189.0,957304121.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.611,7.247000000000001,0.0,0.0,10.630999999999998,8.883,0.0,0.0,12.18,9.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,70.065,0.0,0.061,0.063,0.061,0.0,0.0,0.061,0.062,0.063,0.0,0.0,0.061,0.062,0.061,0.0,0.0,0.0,52.217
2010/08/04,0.0597,244.213,2741851411.0,365042,221.481,145.36700000000002,58.934,244.081,238.793,216.953,165.97099999999998,85.65100000000001,244.213,234.98,192.43200000000002,93.41,2550132650.0,2246130901.0,1611246697.0,621581151.0,2774631810.0,2598084819.0,2302822451.0,1768560054.0,915438137.0,2696162824.0,2452789418.0,2049621423.0,1004550988.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034,7.246,0.0,0.0,9.116,8.308,0.0,0.0,10.854000000000001,8.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,67.572,0.0,0.06,0.063,0.06,0.0,0.0,0.06,0.061,0.063,0.0,0.0,0.06,0.062,0.061,0.0,0.0,0.0,51.428999999999995
2010/08/05,0.0596,259.068,3141922058.0,365237,227.018,153.231,61.669,251.575,243.862,222.56799999999998,171.977,89.463,251.641,239.99200000000002,199.767,97.809,2699668881.0,2348733817.0,1709029641.0,655473366.0,2958276934.0,2734044129.0,2414702398.0,1857164054.0,964371850.0,2844110176.0,2572228239.0,2148374672.0,1059943095.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346,7.12,0.0,0.0,8.016,7.829,0.0,0.0,9.474,8.437999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18899999999999997,68.149,0.0,0.06,0.062,0.06,0.0,0.0,0.06,0.061,0.062,0.0,0.0,0.06,0.061,0.061,0.0,0.0,0.0,51.172
2010/08/06,0.0622,352.161,3199053766.0,365123,239.205,164.18599999999998,65.439,301.868,270.936,239.847,183.602,95.236,303.139,256.677,212.602,104.193,2843923244.0,2454657009.0,1809536618.0,690024977.0,3078665350.0,2850296538.0,2519282581.0,1943737584.0,1013485738.0,2968956397.0,2685604232.0,2244505261.0,1115845961.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.168,7.147,0.0,0.0,6.816,7.2139999999999995,0.0,0.0,7.575,7.917999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,67.28399999999999,0.0,0.06,0.061,0.06,0.0,0.0,0.061,0.061,0.062,0.0,0.0,0.061,0.061,0.061,0.0,0.0,0.0,57.604
2010/08/07,0.0599,352.161,2608076740.0,364315,251.392,175.142,69.21,327.015,291.243,254.82299999999998,194.477,100.883,336.64599999999996,271.738,224.729,110.495,2892892464.0,2522014903.0,1890494379.0,717942471.0,2843371045.0,2789741589.0,2531121802.0,1986598175.0,1048531694.0,2909994771.0,2706060196.0,2296023978.0,1158000945.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.493,7.34,0.0,0.0,6.499,6.992000000000001,0.0,0.0,6.289,7.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,66.711,0.0,0.061,0.061,0.06,0.0,0.0,0.06,0.061,0.062,0.0,0.0,0.061,0.06,0.061,0.0,0.0,0.0,50.842
2010/08/08,0.06,352.161,3128125022.0,363728,263.579,186.097,72.98,339.588,306.472,267.801,204.65,106.406,352.161,285.17400000000004,236.15,116.713,2958108527.0,2609198977.0,1987756076.0,751687624.0,2985748033.0,2874337447.0,2610722231.0,2060245068.0,1094237042.0,2968802910.0,2786874879.0,2375871117.0,1210971990.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.449,7.356,0.0,0.0,5.27,6.271,0.0,0.0,3.94,6.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17600000000000002,66.14399999999999,0.0,0.061,0.06,0.061,0.0,0.0,0.06,0.061,0.062,0.0,0.0,0.06,0.06,0.061,0.0,0.0,0.0,50.99100000000001
2010/08/09,0.066,352.161,3451603021.0,372105,275.76599999999996,197.05200000000002,76.75,345.875,317.895,279.04900000000004,214.167,111.807,352.161,296.985,246.863,122.84899999999999,3025076561.0,2696909457.0,2095298870.0,789195528.0,3218675527.0,3018653840.0,2722839670.0,2150010097.0,1146047283.0,3092176534.0,2899195418.0,2470312855.0,1270310790.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.388,7.511,0.0,0.0,6.961,7.039,0.0,0.0,5.763999999999999,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,68.384,0.0,0.062,0.061,0.062,0.0,0.0,0.063,0.062,0.062,0.0,0.0,0.063,0.062,0.062,0.0,0.0,0.0,65.612
2010/08/10,0.069,352.161,3323478837.0,371587,283.827,208.00799999999998,80.52,349.01800000000003,326.461,288.797,223.07,117.089,352.161,307.171,256.87,128.90200000000002,3084872979.0,2760961928.0,2198753404.0,825268994.0,3271077182.0,3094860089.0,2802924892.0,2225717758.0,1193902922.0,3166777103.0,2982738002.0,2549550272.0,1326009324.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.831,7.691,0.0,0.0,6.939,7.017,0.0,0.0,6.2170000000000005,7.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,66.687,0.0,0.065,0.062,0.063,0.0,0.0,0.066,0.064,0.063,0.0,0.0,0.066,0.064,0.063,0.0,0.0,0.0,70.77
2010/08/11,0.0635,352.161,3758454224.0,370858,291.538,218.963,84.29,350.59,332.88599999999997,297.246,231.398,122.256,352.161,316.282,266.171,134.872,3230101952.0,2890117301.0,2308093492.0,866150414.0,3514765703.0,3260758623.0,2930328803.0,2324603981.0,1250266687.0,3335172414.0,3115736974.0,2650176132.0,1390474934.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.123,8.149,0.0,0.0,7.319,7.21,0.0,0.0,6.956,7.577999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,68.90899999999999,0.0,0.066,0.063,0.063,0.0,0.0,0.065,0.064,0.063,0.0,0.0,0.066,0.064,0.063,0.0,0.0,0.0,53.772
2010/08/12,0.069,352.161,3882076899.0,361685,299.248,229.52599999999998,88.06,351.375,337.705,304.568,239.18900000000002,127.309,352.161,324.365,274.764,140.76,3335838358.0,3017753620.0,2392407942.0,908385016.0,3698421301.0,3416088192.0,3057228549.0,2425086105.0,1308108669.0,3498166150.0,3247998254.0,2751723448.0,1456759032.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0329999999999995,8.299,0.0,0.0,6.181,6.617000000000001,0.0,0.0,6.131,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,65.69,0.0,0.067,0.064,0.063,0.0,0.0,0.067,0.065,0.064,0.0,0.0,0.067,0.066,0.064,0.0,0.0,0.0,63.891000000000005
2010/08/13,0.0655,352.161,3918463385.0,333802,306.959,239.752,91.83,351.76800000000003,341.319,310.914,246.47799999999998,132.251,352.161,331.42,282.676,146.564,3438611161.0,3141267203.0,2478275004.0,951149526.0,3808442343.0,3541681990.0,3172059861.0,2521433026.0,1365479103.0,3643822407.0,3368092890.0,2850178638.0,1522914601.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.225,8.323,0.0,0.0,5.747999999999999,6.327999999999999,0.0,0.0,5.797999999999999,6.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,66.796,0.0,0.066,0.065,0.063,0.0,0.0,0.066,0.065,0.064,0.0,0.0,0.066,0.066,0.064,0.0,0.0,0.0,54.96
2010/08/14,0.0663,352.161,4198187090.0,332702,314.66900000000004,249.97799999999998,95.6,351.965,344.03,316.413,253.296,137.084,352.161,337.44699999999995,289.928,152.286,3665769782.0,3279331123.0,2572399397.0,997104298.0,4003314716.0,3705808265.0,3308876824.0,2629610708.0,1427736421.0,3833716389.0,3509015541.0,2961140708.0,1594278064.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2289999999999996,8.252,0.0,0.0,4.928999999999999,5.814,0.0,0.0,4.927,5.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,65.197,0.0,0.067,0.066,0.063,0.0,0.0,0.066,0.065,0.064,0.0,0.0,0.066,0.066,0.064,0.0,0.0,0.0,56.48
2010/08/15,0.0661,389.944,5792904430.0,332407,325.079,260.897,99.79,370.954,355.50800000000004,326.217,262.112,142.641,371.05300000000005,347.48400000000004,298.95799999999997,158.755,4046452555.0,3502280541.0,2703113706.0,1060521462.0,4898109573.0,4227582306.0,3640080505.0,2833694174.0,1523674179.0,4365500051.0,3844158649.0,3168915226.0,1699680265.0,0.0,0,2737,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.492,5.27,6.082000000000001,0.0,4.585,5.5120000000000005,6.082000000000001,0.0,4.435,4.94,6.202999999999999,0.0,0.0,0.0,1.8719999999999999,1.8719999999999999,2.217,0.0,0.149,64.304,0.0,0.066,0.066,0.063,0.064,0.0,0.066,0.066,0.065,0.064,0.0,0.066,0.066,0.065,0.063,0.0,0.0,56.17100000000001
2010/08/16,0.0643,511.774,3723240584.0,333646,344.19,271.905,105.334,441.36400000000003,394.574,350.958,278.219,150.754,444.56199999999995,372.37699999999995,315.144,167.80900000000003,4085257921.0,3555167241.0,2734703019.0,1100768335.0,4310675078.0,4101496876.0,3651168516.0,2891084265.0,1572016298.0,4284697058.0,3873619988.0,3234729864.0,1758201564.0,0.0,0,2841,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.284,5.273,6.312,0.0,5.895,6.087999999999999,6.324,0.0,5.441,5.547999999999999,6.444,0.0,0.0,0.0,2.0180000000000002,2.048,2.3930000000000002,0.0,0.145,66.086,0.0,0.066,0.066,0.064,0.064,0.0,0.065,0.065,0.065,0.064,0.0,0.065,0.066,0.065,0.063,0.0,0.0,50.618
2010/08/17,0.0678,511.774,3546715851.0,332800,363.30199999999996,282.91200000000003,110.883,476.569,423.874,372.4,293.28700000000003,158.688,491.469,394.721,330.619,176.74200000000002,4117148923.0,3601010951.0,2801111504.0,1139046918.0,3928695465.0,3962801619.0,3637241494.0,2933383077.0,1615416288.0,4150061541.0,3872493136.0,3287117788.0,1811958652.0,0.0,0,2877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01,5.766,6.459,0.0,7.084,6.696000000000001,6.603,0.0,6.732,6.265,6.724,0.0,0.0,0.0,2.1180000000000003,2.135,2.481,0.0,0.142,67.69800000000001,0.0,0.066,0.066,0.064,0.064,0.0,0.067,0.066,0.065,0.064,0.0,0.066,0.066,0.065,0.064,0.0,0.0,59.461999999999996
2010/08/18,0.069,511.774,3326153695.0,352306,382.413,293.92,116.43700000000001,494.171,445.849,390.983,307.383,166.449,511.774,414.517,345.385,185.553,4055391705.0,3642746828.0,2860273710.0,1174816263.0,3627424580.0,3803639638.0,3595763120.0,2958723117.0,1653014913.0,3952312734.0,3835845501.0,3320991478.0,1860026933.0,0.0,0,2857,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.107000000000001,5.928,6.432,0.0,7.024,6.716,6.617999999999999,0.0,6.937,6.409,6.749,0.0,0.0,0.0,2.219,2.22,2.5669999999999997,0.0,0.139,66.82,0.0,0.067,0.067,0.065,0.064,0.0,0.068,0.067,0.066,0.064,0.0,0.068,0.067,0.066,0.064,0.0,0.0,62.339
2010/08/19,0.0673,511.774,3455494630.0,351500,400.463,304.928,121.992,502.972,462.33,407.089,320.57,174.03799999999998,511.774,431.765,359.44,194.24200000000002,3994451380.0,3665144869.0,2920775855.0,1211974140.0,3541459605.0,3716603386.0,3577060655.0,2990772892.0,1692629852.0,3802338465.0,3810878542.0,3359392828.0,1910151732.0,0.0,0,2762,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,5.893,6.441,0.0,6.324,6.3839999999999995,6.4639999999999995,0.0,6.544,6.182,6.606,0.0,0.0,0.0,2.161,2.294,2.641,0.0,0.13699999999999998,66.345,0.0,0.068,0.067,0.065,0.063,0.0,0.068,0.067,0.066,0.065,0.0,0.068,0.067,0.066,0.064,0.0,0.0,56.023
